id	paper	permanent_id	host	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
25663	70	GF05024211S	Maxillaria acuminata	root	-3.59	-79.08	South America	2012	2012	forest	ITS86F/ITS4	9.3	1096	5.4	19.5	32605	0	8
25816	82	GF05022955S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	34303	0	3
25900	82	GF05023000S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	9930	0	1
26457	38	GF05027038S	?	root	51.19	10.32	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.6	780	5.4	19.2	13110	0	1
26666	231	GF05010502S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	33650	0	476
26667	231	GF05010499S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	16916	0	50
26852	837	GF01000697S	Ilex paraguariensis	root	-26.9932	-55.2339	South America	2013	2013	cropland	ITS1F/ITS4	21.2	1859	5.6	3	61929	0	25
26936	708	GF01013197S	Myosotis arvensis	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	5898	0	1
27290	82	GF05022903S	Pinus sylvestris L.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	69145	0	1
27292	82	GF05023020S	Picea abies L. Karst.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	86000	0	382
27315	553	GF03005805S	Cyrtochilum pardinum	root	-2.8702	-79.1238	South America	2013	2013	forest	ITS86F/ITS4	9.6	869	5.6	14.8	42621	0	1
27518	175	GF05015009S	Juglans nigra	root	41.5385	-77.4062	North America	2012	2012	forest	ITS3_KYO2/ITS4	9.9	782	5.1	24.6	31202	0	1
28291	38	GF05026966S	?	root	48.39	9.41	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	792	5.8	16.7	20948	0	4
28416	708	GF01013203S	Myosotis arvensis	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	12840	0	4
