,strain,25 degrees,30 degrees,replicate,Growth difference
188,P44,11.085,8.38,R4,-0.24402345511953089
189,P45,11.459000000000001,8.168,R4,-0.2871978357622831
190,P46,7.811,0.7809999999999999,R4,-0.900012802458072
191,P47,8.575,3.2030000000000003,R4,-0.626472303206997
192,P48,8.871,0.631,R4,-0.9288693495660015
193,P49,5.9910000000000005,2.214,R4,-0.6304456685027542
194,P50,11.276,8.699,R4,-0.22853848882582475
195,P51,9.162,8.45,R4,-0.07771228989303662
196,P52,13.525,11.027000000000001,R4,-0.18469500924214413
197,P53,9.892000000000001,7.846,R4,-0.20683380509502639
198,P54,6.702000000000001,9.289,R4,0.3860041778573558
199,P55,11.550999999999998,9.41,R4,-0.18535191758289313
200,P56,12.417,10.921,R4,-0.12047998711443991
201,P57,9.294,8.686,R4,-0.06541854960189375
202,P58,9.271,8.886000000000001,R4,-0.04152734332865923
203,P59,10.727,9.777999999999999,R4,-0.08846835089027702
204,P60,10.655,10.033,R4,-0.058376349131862966
205,P61,9.551,6.757000000000001,R4,-0.292534813108575
206,P62,10.815999999999999,4.066,R4,-0.6240754437869822
207,P63,9.295,6.143,R4,-0.3391070467993545
208,P64,9.38,11.997,R4,0.27899786780383784
209,P65,11.397,7.725,R4,-0.3221900500131614
210,P66,10.64,7.556,R4,-0.2898496240601504
211,P67,9.899,7.9879999999999995,R4,-0.19304980301040506
212,P68,10.474,7.882999999999999,R4,-0.24737445102157735
213,P117,8.584,1.089,R4,-0.8731360671015843
214,P143,7.502999999999999,8.796,R4,0.17233106757297084
215,P340,10.825,9.191,R4,-0.15094688221708993
216,P421,10.187000000000001,9.642999999999999,R4,-0.0534013939334448
217,P455,9.589,8.443,R4,-0.1195119407654605
218,P612,6.31,5.581,R4,-0.11553090332805059
